,EstimateMedian value (dollars),Geography,NAME,s,county,S
1,134500,0500000US17001,Adams County,17,001,Illinois
2,60800,0500000US17003,Alexander County,17,003,Illinois
3,119000,0500000US17005,Bond County,17,005,Illinois
4,163200,0500000US17007,Boone County,17,007,Illinois
5,106200,0500000US17009,Brown County,17,009,Illinois
6,108700,0500000US17011,Bureau County,17,011,Illinois
7,149200,0500000US17013,Calhoun County,17,013,Illinois
8,100700,0500000US17015,Carroll County,17,015,Illinois
9,83400,0500000US17017,Cass County,17,017,Illinois
10,170600,0500000US17019,Champaign County,17,019,Illinois
11,96100,0500000US17021,Christian County,17,021,Illinois
12,102200,0500000US17023,Clark County,17,023,Illinois
13,93700,0500000US17025,Clay County,17,025,Illinois
14,152900,0500000US17027,Clinton County,17,027,Illinois
15,103200,0500000US17029,Coles County,17,029,Illinois
16,266800,0500000US17031,Cook County,17,031,Illinois
17,96400,0500000US17033,Crawford County,17,033,Illinois
18,107900,0500000US17035,Cumberland County,17,035,Illinois
19,190600,0500000US17037,DeKalb County,17,037,Illinois
20,109800,0500000US17039,De Witt County,17,039,Illinois
21,119800,0500000US17041,Douglas County,17,041,Illinois
22,324900,0500000US17043,DuPage County,17,043,Illinois
23,83600,0500000US17045,Edgar County,17,045,Illinois
24,84800,0500000US17047,Edwards County,17,047,Illinois
25,158000,0500000US17049,Effingham County,17,049,Illinois
26,95600,0500000US17051,Fayette County,17,051,Illinois
27,101200,0500000US17053,Ford County,17,053,Illinois
28,79200,0500000US17055,Franklin County,17,055,Illinois
29,90800,0500000US17057,Fulton County,17,057,Illinois
30,76600,0500000US17059,Gallatin County,17,059,Illinois
31,84200,0500000US17061,Greene County,17,061,Illinois
32,212300,0500000US17063,Grundy County,17,063,Illinois
33,93700,0500000US17065,Hamilton County,17,065,Illinois
34,93300,0500000US17067,Hancock County,17,067,Illinois
35,77700,0500000US17069,Hardin County,17,069,Illinois
36,88100,0500000US17071,Henderson County,17,071,Illinois
37,125500,0500000US17073,Henry County,17,073,Illinois
38,111700,0500000US17075,Iroquois County,17,075,Illinois
39,112700,0500000US17077,Jackson County,17,077,Illinois
40,100400,0500000US17079,Jasper County,17,079,Illinois
41,102200,0500000US17081,Jefferson County,17,081,Illinois
42,146900,0500000US17083,Jersey County,17,083,Illinois
43,159300,0500000US17085,Jo Daviess County,17,085,Illinois
44,122300,0500000US17087,Johnson County,17,087,Illinois
45,255900,0500000US17089,Kane County,17,089,Illinois
46,158100,0500000US17091,Kankakee County,17,091,Illinois
47,255400,0500000US17093,Kendall County,17,093,Illinois
48,86300,0500000US17095,Knox County,17,095,Illinois
49,279500,0500000US17097,Lake County,17,097,Illinois
50,133200,0500000US17099,LaSalle County,17,099,Illinois
51,81500,0500000US17101,Lawrence County,17,101,Illinois
52,127700,0500000US17103,Lee County,17,103,Illinois
53,114900,0500000US17105,Livingston County,17,105,Illinois
54,111500,0500000US17107,Logan County,17,107,Illinois
55,89000,0500000US17109,McDonough County,17,109,Illinois
56,241500,0500000US17111,McHenry County,17,111,Illinois
57,170100,0500000US17113,McLean County,17,113,Illinois
58,105900,0500000US17115,Macon County,17,115,Illinois
59,103800,0500000US17117,Macoupin County,17,117,Illinois
60,142100,0500000US17119,Madison County,17,119,Illinois
61,83700,0500000US17121,Marion County,17,121,Illinois
62,111300,0500000US17123,Marshall County,17,123,Illinois
63,86200,0500000US17125,Mason County,17,125,Illinois
64,94000,0500000US17127,Massac County,17,127,Illinois
65,154300,0500000US17129,Menard County,17,129,Illinois
66,116300,0500000US17131,Mercer County,17,131,Illinois
67,226300,0500000US17133,Monroe County,17,133,Illinois
68,92300,0500000US17135,Montgomery County,17,135,Illinois
69,110000,0500000US17137,Morgan County,17,137,Illinois
70,108100,0500000US17139,Moultrie County,17,139,Illinois
71,156200,0500000US17141,Ogle County,17,141,Illinois
72,133000,0500000US17143,Peoria County,17,143,Illinois
73,85800,0500000US17145,Perry County,17,145,Illinois
74,152000,0500000US17147,Piatt County,17,147,Illinois
75,88600,0500000US17149,Pike County,17,149,Illinois
76,114400,0500000US17151,Pope County,17,151,Illinois
77,65500,0500000US17153,Pulaski County,17,153,Illinois
78,138600,0500000US17155,Putnam County,17,155,Illinois
79,114400,0500000US17157,Randolph County,17,157,Illinois
80,90000,0500000US17159,Richland County,17,159,Illinois
81,125200,0500000US17161,Rock Island County,17,161,Illinois
82,140600,0500000US17163,"St, Clair County",17,163,Illinois
83,81000,0500000US17165,Saline County,17,165,Illinois
84,147600,0500000US17167,Sangamon County,17,167,Illinois
85,101600,0500000US17169,Schuyler County,17,169,Illinois
86,91500,0500000US17171,Scott County,17,171,Illinois
87,106800,0500000US17173,Shelby County,17,173,Illinois
88,86900,0500000US17175,Stark County,17,175,Illinois
89,103900,0500000US17177,Stephenson County,17,177,Illinois
90,145500,0500000US17179,Tazewell County,17,179,Illinois
91,109500,0500000US17181,Union County,17,181,Illinois
92,81700,0500000US17183,Vermilion County,17,183,Illinois
93,83300,0500000US17185,Wabash County,17,185,Illinois
94,87400,0500000US17187,Warren County,17,187,Illinois
95,123500,0500000US17189,Washington County,17,189,Illinois
96,94100,0500000US17191,Wayne County,17,191,Illinois
97,83100,0500000US17193,White County,17,193,Illinois
98,109600,0500000US17195,Whiteside County,17,195,Illinois
99,249400,0500000US17197,Will County,17,197,Illinois
100,125800,0500000US17199,Williamson County,17,199,Illinois
101,125900,0500000US17201,Winnebago County,17,201,Illinois
102,172000,0500000US17203,Woodford County,17,203,Illinois
